x,y,z
1.000000e+02,0.000000e+00,1.000000e+02
1.005331e+02,2.756812e-01,1.005331e+02
1.014520e+02,-4.442512e-01,1.014520e+02
1.015819e+02,-1.887780e+00,1.015819e+02
1.007493e+02,-2.861571e+00,1.007493e+02
1.000030e+02,-2.770314e+00,1.000030e+02
1.002785e+02,-2.374650e+00,1.002785e+02
1.012073e+02,-2.822712e+00,1.012073e+02
1.015858e+02,-4.188302e+00,1.015858e+02
1.009078e+02,-5.376913e+00,1.009078e+02
1.000091e+02,-5.519237e+00,1.000091e+02
1.000031e+02,-5.077952e+00,1.000031e+02
1.008636e+02,-5.258625e+00,1.008636e+02
1.014577e+02,-6.474767e+00,1.014577e+02
1.009886e+02,-7.821336e+00,1.009886e+02
1.000099e+02,-8.227018e+00,1.000099e+02
9.972077e+01,-7.818210e+00,9.972077e+01
1.004392e+02,-7.758073e+00,1.004392e+02
1.011972e+02,-8.765582e+00,1.011972e+02
1.009731e+02,-1.020011e+01,1.009731e+02
9.999242e+01,-1.087705e+01,9.999242e+01
9.944078e+01,-1.057606e+01,9.944078e+01
9.995428e+01,-1.032156e+01,9.995428e+01
1.008097e+02,-1.107845e+01,1.008097e+02
1.008452e+02,-1.252356e+01,1.008452e+02
9.993976e+01,-1.345712e+01,9.993976e+01
9.916704e+01,-1.333026e+01,9.916704e+01
9.942858e+01,-1.294385e+01,9.942858e+01
1.003059e+02,-1.342878e+01,1.003059e+02
1.005932e+02,-1.480613e+01,1.005932e+02
9.983285e+01,-1.596028e+01,9.983285e+01
9.889773e+01,-1.605933e+01,9.889773e+01
9.888012e+01,-1.561425e+01,9.888012e+01
9.970092e+01,-1.582828e+01,9.970092e+01
1.002104e+02,-1.706498e+01,1.002104e+02
9.965190e+01,-1.838530e+01,9.965190e+01
9.862548e+01,-1.874318e+01,9.862548e+01
9.832364e+01,-1.831738e+01,9.832364e+01
9.901320e+01,-1.828384e+01,9.901320e+01
9.969556e+01,-1.931850e+01,9.969556e+01
