x,y,z
1.000000e+02,0.000000e+00,1.000000e+02
1.000000e+02,1.000000e-01,1.000000e+02
1.000482e+02,2.000000e-01,9.995184e+01
1.001445e+02,2.884290e-01,9.985553e+01
1.002862e+02,3.537161e-01,9.971109e+01
1.004677e+02,3.849556e-01,9.951855e+01
1.006809e+02,3.725721e-01,9.927801e+01
1.009153e+02,3.089481e-01,9.898953e+01
1.011586e+02,1.889738e-01,9.865325e+01
1.013974e+02,1.048558e-02,9.826930e+01
1.016175e+02,-2.254406e-01,9.783784e+01
1.018052e+02,-5.143644e-01,9.735906e+01
1.019478e+02,-8.485434e-01,9.683317e+01
1.020345e+02,-1.217188e+00,9.626039e+01
1.020570e+02,-1.606907e+00,9.564098e+01
1.020102e+02,-2.002326e+00,9.497521e+01
1.018927e+02,-2.386862e+00,9.426339e+01
1.017072e+02,-2.743602e+00,9.350583e+01
1.014604e+02,-3.056259e+00,9.270287e+01
1.011628e+02,-3.310144e+00,9.185489e+01
1.008285e+02,-3.493102e+00,9.096227e+01
1.004744e+02,-3.596357e+00,9.002541e+01
1.001198e+02,-3.615213e+00,8.904475e+01
9.978487e+01,-3.549552e+00,8.802073e+01
9.948983e+01,-3.404111e+00,8.695384e+01
9.925384e+01,-3.188486e+00,8.584455e+01
9.909372e+01,-2.916858e+00,8.469340e+01
9.902291e+01,-2.607445e+00,8.350090e+01
9.905045e+01,-2.281683e+00,8.226762e+01
9.918027e+01,-1.963181e+00,8.099413e+01
9.941064e+01,-1.676487e+00,7.968102e+01
9.973391e+01,-1.445733e+00,7.832891e+01
1.001367e+02,-1.293220e+00,7.693843e+01
1.006002e+02,-1.238034e+00,7.551023e+01
1.011011e+02,-1.294763e+00,7.404497e+01
1.016126e+02,-1.472399e+00,7.254336e+01
1.021056e+02,-1.773497e+00,7.100608e+01
1.025506e+02,-2.193665e+00,6.943388e+01
1.029190e+02,-2.721409e+00,6.782747e+01
1.031851e+02,-3.338391e+00,6.618764e+01
1.033274e+02,-4.020087e+00,6.451513e+01
1.033303e+02,-4.736843e+00,6.281076e+01
1.031856e+02,-5.455283e+00,6.107532e+01
1.028928e+02,-6.140017e+00,5.930963e+01
1.024599e+02,-6.755556e+00,5.751453e+01
1.019036e+02,-7.268350e+00,5.569087e+01
1.012485e+02,-7.648826e+00,5.383951e+01
1.005264e+02,-7.873319e+00,5.196133e+01
9.977452e+01,-7.925769e+00,5.005722e+01
