x,y,z
1.000000e+02,0.000000e+00,1.000000e+02
1.000000e+02,5.000000e-02,1.000000e+02
1.000120e+02,1.000000e-01,9.998796e+01
1.000361e+02,1.485536e-01,9.996388e+01
1.000721e+02,1.942145e-01,9.992777e+01
1.001195e+02,2.355571e-01,9.987962e+01
1.001780e+02,2.711973e-01,9.981944e+01
1.002468e+02,2.998133e-01,9.974723e+01
1.003250e+02,3.201650e-01,9.966301e+01
1.004118e+02,3.311135e-01,9.956678e+01
1.005059e+02,3.316385e-01,9.945855e+01
1.006061e+02,3.208550e-01,9.933833e+01
1.007110e+02,2.980276e-01,9.920614e+01
1.008193e+02,2.625837e-01,9.906199e+01
1.009294e+02,2.141238e-01,9.890590e+01
1.010396e+02,1.524294e-01,9.873788e+01
1.011486e+02,7.746952e-02,9.855795e+01
1.012546e+02,-1.059688e-02,9.836614e+01
1.013561e+02,-1.114201e-01,9.816246e+01
1.014515e+02,-2.244619e-01,9.794694e+01
1.015395e+02,-3.490010e-01,9.771960e+01
1.016185e+02,-4.841403e-01,9.748047e+01
1.016874e+02,-6.288173e-01,9.722957e+01
1.017450e+02,-7.818174e-01,9.696694e+01
1.017903e+02,-9.417888e-01,9.669261e+01
1.018224e+02,-1.107260e+00,9.640660e+01
1.018408e+02,-1.276660e+00,9.610895e+01
1.018449e+02,-1.448337e+00,9.579969e+01
1.018345e+02,-1.620584e+00,9.547886e+01
1.018094e+02,-1.791662e+00,9.514650e+01
1.017699e+02,-1.959823e+00,9.480264e+01
1.017163e+02,-2.123335e+00,9.444733e+01
1.016491e+02,-2.280508e+00,9.408061e+01
1.015691e+02,-2.429721e+00,9.370251e+01
1.014773e+02,-2.569441e+00,9.331309e+01
1.013747e+02,-2.698252e+00,9.291239e+01
1.012628e+02,-2.814873e+00,9.250045e+01
1.011429e+02,-2.918181e+00,9.207733e+01
1.010167e+02,-3.007226e+00,9.164307e+01
1.008859e+02,-3.081252e+00,9.119773e+01
1.007522e+02,-3.139706e+00,9.074135e+01
1.006175e+02,-3.182252e+00,9.027400e+01
1.004838e+02,-3.208777e+00,8.979572e+01
1.003530e+02,-3.219397e+00,8.930657e+01
1.002269e+02,-3.214458e+00,8.880661e+01
1.001075e+02,-3.194537e+00,8.829590e+01
9.999650e+01,-3.160430e+00,8.777450e+01
9.989564e+01,-3.113152e+00,8.724247e+01
9.980648e+01,-3.053920e+00,8.669987e+01
9.973046e+01,-2.984143e+00,8.614677e+01
9.966886e+01,-2.905397e+00,8.558323e+01
9.962274e+01,-2.819415e+00,8.500932e+01
9.959297e+01,-2.728055e+00,8.442510e+01
9.958019e+01,-2.633281e+00,8.383065e+01
9.958482e+01,-2.537133e+00,8.322604e+01
9.960702e+01,-2.441701e+00,8.261134e+01
9.964670e+01,-2.349094e+00,8.198661e+01
9.970353e+01,-2.261411e+00,8.135194e+01
9.977691e+01,-2.180712e+00,8.070740e+01
9.986601e+01,-2.108983e+00,8.005307e+01
9.996975e+01,-2.048112e+00,7.938901e+01
1.000868e+02,-1.999857e+00,7.871533e+01
1.002157e+02,-1.965821e+00,7.803208e+01
1.003548e+02,-1.947425e+00,7.733936e+01
1.005020e+02,-1.945885e+00,7.663724e+01
1.006556e+02,-1.962192e+00,7.592581e+01
1.008131e+02,-1.997097e+00,7.520516e+01
1.009726e+02,-2.051093e+00,7.447536e+01
1.011316e+02,-2.124405e+00,7.373651e+01
1.012879e+02,-2.216984e+00,7.298870e+01
1.014391e+02,-2.328503e+00,7.223201e+01
1.015830e+02,-2.458361e+00,7.146653e+01
1.017173e+02,-2.605680e+00,7.069235e+01
1.018400e+02,-2.769322e+00,6.990957e+01
1.019492e+02,-2.947896e+00,6.911828e+01
1.020430e+02,-3.139778e+00,6.831858e+01
1.021198e+02,-3.343128e+00,6.751055e+01
1.021783e+02,-3.555916e+00,6.669430e+01
1.022173e+02,-3.775946e+00,6.586992e+01
1.022360e+02,-4.000886e+00,6.503751e+01
1.022337e+02,-4.228302e+00,6.419717e+01
1.022102e+02,-4.455687e+00,6.334900e+01
1.021655e+02,-4.680501e+00,6.249310e+01
1.020999e+02,-4.900200e+00,6.162957e+01
1.020140e+02,-5.112283e+00,6.075853e+01
1.019087e+02,-5.314317e+00,5.988006e+01
1.017852e+02,-5.503982e+00,5.899428e+01
1.016450e+02,-5.679101e+00,5.810128e+01
1.014899e+02,-5.837675e+00,5.720119e+01
1.013218e+02,-5.977914e+00,5.629410e+01
1.011429e+02,-6.098265e+00,5.538013e+01
1.009556e+02,-6.197440e+00,5.445937e+01
1.007625e+02,-6.274437e+00,5.353195e+01
1.005662e+02,-6.328557e+00,5.259798e+01
1.003694e+02,-6.359419e+00,5.165756e+01
1.001750e+02,-6.366974e+00,5.071080e+01
9.998571e+01,-6.351504e+00,4.975783e+01
9.980431e+01,-6.313627e+00,4.879875e+01
9.963348e+01,-6.254294e+00,4.783369e+01
9.947580e+01,-6.174775e+00,4.686274e+01
9.933370e+01,-6.076650e+00,4.588604e+01
9.920940e+01,-5.961789e+00,4.490370e+01
9.910490e+01,-5.832328e+00,4.391583e+01
9.902196e+01,-5.690647e+00,4.292256e+01
9.896205e+01,-5.539331e+00,4.192400e+01
9.892631e+01,-5.381145e+00,4.092027e+01
9.891558e+01,-5.218989e+00,3.991150e+01
9.893032e+01,-5.055866e+00,3.889780e+01
9.897065e+01,-4.894831e+00,3.787929e+01
9.903632e+01,-4.738956e+00,3.685610e+01
9.912672e+01,-4.591282e+00,3.582835e+01
9.924086e+01,-4.454777e+00,3.479616e+01
9.937740e+01,-4.332289e+00,3.375966e+01
9.953466e+01,-4.226507e+00,3.271898e+01
9.971064e+01,-4.139919e+00,3.167422e+01
9.990303e+01,-4.074771e+00,3.062553e+01
1.001093e+02,-4.033035e+00,2.957302e+01
1.003265e+02,-4.016372e+00,2.851683e+01
1.005519e+02,-4.026111e+00,2.745708e+01
1.007820e+02,-4.063216e+00,2.639389e+01
1.010138e+02,-4.128274e+00,2.532740e+01
1.012438e+02,-4.221479e+00,2.425773e+01
1.014686e+02,-4.342622e+00,2.318501e+01
1.016850e+02,-4.491088e+00,2.210937e+01
1.018896e+02,-4.665865e+00,2.103094e+01
1.020793e+02,-4.865543e+00,1.994985e+01
1.022511e+02,-5.088338e+00,1.886623e+01
1.024021e+02,-5.332105e+00,1.778020e+01
1.025300e+02,-5.594369e+00,1.669190e+01
1.026325e+02,-5.872352e+00,1.560147e+01
1.027077e+02,-6.163010e+00,1.450902e+01
1.027541e+02,-6.463076e+00,1.341469e+01
1.027706e+02,-6.769096e+00,1.231862e+01
1.027563e+02,-7.077485e+00,1.122094e+01
1.027112e+02,-7.384570e+00,1.012177e+01
1.026352e+02,-7.686644e+00,9.021244e+00
1.025291e+02,-7.980020e+00,7.919505e+00
1.023939e+02,-8.261083e+00,6.816679e+00
1.022309e+02,-8.526341e+00,5.712900e+00
1.020422e+02,-8.772481e+00,4.608300e+00
1.018300e+02,-8.996416e+00,3.503013e+00
1.015970e+02,-9.195335e+00,2.397170e+00
1.013462e+02,-9.366744e+00,1.290906e+00
1.010809e+02,-9.508511e+00,1.843539e-01
1.008046e+02,-9.618898e+00,-9.223541e-01
1.005211e+02,-9.696593e+00,-2.029084e+00
1.002343e+02,-9.740735e+00,-3.135703e+00
9.994822e+01,-9.750933e+00,-4.242078e+00
9.966697e+01,-9.727279e+00,-5.348076e+00
9.939458e+01,-9.670352e+00,-6.453562e+00
9.913504e+01,-9.581217e+00,-7.558405e+00
9.889222e+01,-9.461419e+00,-8.662471e+00
9.866979e+01,-9.312964e+00,-9.765627e+00
9.847118e+01,-9.138301e+00,-1.086774e+01
9.829954e+01,-8.940287e+00,-1.196868e+01
9.815767e+01,-8.722160e+00,-1.306831e+01
9.804797e+01,-8.487491e+00,-1.416649e+01
9.797244e+01,-8.240141e+00,-1.526311e+01
9.793259e+01,-7.984208e+00,-1.635802e+01
9.792944e+01,-7.723973e+00,-1.745109e+01
9.796352e+01,-7.463840e+00,-1.854219e+01
9.803481e+01,-7.208275e+00,-1.963119e+01
9.814277e+01,-6.961742e+00,-2.071796e+01
9.828631e+01,-6.728640e+00,-2.180237e+01
9.846382e+01,-6.513237e+00,-2.288428e+01
9.867317e+01,-6.319610e+00,-2.396357e+01
9.891177e+01,-6.151580e+00,-2.504010e+01
9.917653e+01,-6.012654e+00,-2.611375e+01
9.946398e+01,-5.905974e+00,-2.718438e+01
9.977023e+01,-5.834261e+00,-2.825187e+01
1.000911e+02,-5.799774e+00,-2.931608e+01
1.004221e+02,-5.804269e+00,-3.037690e+01
1.007587e+02,-5.848966e+00,-3.143418e+01
1.010958e+02,-5.934527e+00,-3.248781e+01
1.014288e+02,-6.061033e+00,-3.353765e+01
1.017526e+02,-6.227980e+00,-3.458358e+01
1.020624e+02,-6.434274e+00,-3.562548e+01
1.023535e+02,-6.678241e+00,-3.666321e+01
1.026214e+02,-6.957641e+00,-3.769665e+01
1.028618e+02,-7.269692e+00,-3.872568e+01
1.030708e+02,-7.611104e+00,-3.975017e+01
1.032449e+02,-7.978115e+00,-4.077000e+01
1.033810e+02,-8.366543e+00,-4.178504e+01
1.034766e+02,-8.771838e+00,-4.279517e+01
1.035295e+02,-9.189142e+00,-4.380028e+01
1.035385e+02,-9.613354e+00,-4.480023e+01
