x,y,z
1.000000e+02,0.000000e+00,1.000000e+02
1.000060e+02,4.975911e-02,1.000060e+02
1.000240e+02,9.807704e-02,1.000240e+02
1.000536e+02,1.435333e-01,1.000536e+02
1.000945e+02,1.847485e-01,1.000945e+02
1.001460e+02,2.204040e-01,1.001460e+02
1.002075e+02,2.492613e-01,1.002075e+02
1.002780e+02,2.701791e-01,1.002780e+02
1.003565e+02,2.821304e-01,1.003565e+02
1.004420e+02,2.842167e-01,1.004420e+02
1.005331e+02,2.756812e-01,1.005331e+02
1.006285e+02,2.559197e-01,1.006285e+02
1.007270e+02,2.244890e-01,1.007270e+02
1.008269e+02,1.811135e-01,1.008269e+02
1.009271e+02,1.256890e-01,1.009271e+02
1.010258e+02,5.828452e-02,1.010258e+02
1.011219e+02,-2.085926e-02,1.011219e+02
1.012138e+02,-1.113329e-01,1.012138e+02
1.013003e+02,-2.125645e-01,1.013003e+02
1.013801e+02,-3.238274e-01,1.013801e+02
1.014520e+02,-4.442512e-01,1.014520e+02
1.015150e+02,-5.728340e-01,1.015150e+02
1.015682e+02,-7.084567e-01,1.015682e+02
1.016108e+02,-8.498989e-01,1.016108e+02
1.016423e+02,-9.958570e-01,1.016423e+02
1.016621e+02,-1.144962e+00,1.016621e+02
1.016699e+02,-1.295801e+00,1.016699e+02
1.016657e+02,-1.446935e+00,1.016657e+02
1.016494e+02,-1.596921e+00,1.016494e+02
1.016214e+02,-1.744332e+00,1.016214e+02
1.015819e+02,-1.887780e+00,1.015819e+02
1.015316e+02,-2.025931e+00,1.015316e+02
1.014711e+02,-2.157529e+00,1.014711e+02
1.014014e+02,-2.281411e+00,1.014014e+02
1.013234e+02,-2.396526e+00,1.013234e+02
1.012382e+02,-2.501949e+00,1.012382e+02
1.011470e+02,-2.596891e+00,1.011470e+02
1.010511e+02,-2.680718e+00,1.010511e+02
1.009520e+02,-2.752952e+00,1.009520e+02
1.008509e+02,-2.813283e+00,1.008509e+02
1.007493e+02,-2.861571e+00,1.007493e+02
1.006488e+02,-2.897851e+00,1.006488e+02
1.005506e+02,-2.922328e+00,1.005506e+02
1.004562e+02,-2.935377e+00,1.004562e+02
1.003670e+02,-2.937537e+00,1.003670e+02
1.002842e+02,-2.929505e+00,1.002842e+02
1.002089e+02,-2.912122e+00,1.002089e+02
1.001423e+02,-2.886364e+00,1.001423e+02
1.000853e+02,-2.853329e+00,1.000853e+02
1.000386e+02,-2.814216e+00,1.000386e+02
1.000030e+02,-2.770314e+00,1.000030e+02
9.997888e+01,-2.722980e+00,9.997888e+01
9.996664e+01,-2.673619e+00,9.996664e+01
9.996641e+01,-2.623668e+00,9.996641e+01
9.997817e+01,-2.574569e+00,9.997817e+01
1.000017e+02,-2.527755e+00,1.000017e+02
1.000367e+02,-2.484624e+00,1.000367e+02
1.000827e+02,-2.446521e+00,1.000827e+02
1.001389e+02,-2.414720e+00,1.001389e+02
1.002045e+02,-2.390405e+00,1.002045e+02
1.002785e+02,-2.374650e+00,1.002785e+02
1.003599e+02,-2.368409e+00,1.003599e+02
1.004476e+02,-2.372497e+00,1.004476e+02
1.005401e+02,-2.387583e+00,1.005401e+02
1.006361e+02,-2.414177e+00,1.006361e+02
1.007343e+02,-2.452622e+00,1.007343e+02
1.008332e+02,-2.503094e+00,1.008332e+02
1.009314e+02,-2.565594e+00,1.009314e+02
1.010274e+02,-2.639952e+00,1.010274e+02
1.011198e+02,-2.725827e+00,1.011198e+02
1.012073e+02,-2.822712e+00,1.012073e+02
1.012887e+02,-2.929942e+00,1.012887e+02
1.013626e+02,-3.046705e+00,1.013626e+02
1.014280e+02,-3.172051e+00,1.014280e+02
1.014840e+02,-3.304907e+00,1.014840e+02
1.015297e+02,-3.444091e+00,1.015297e+02
1.015645e+02,-3.588333e+00,1.015645e+02
1.015877e+02,-3.736287e+00,1.015877e+02
1.015992e+02,-3.886556e+00,1.015992e+02
1.015985e+02,-4.037709e+00,1.015985e+02
1.015858e+02,-4.188302e+00,1.015858e+02
1.015612e+02,-4.336900e+00,1.015612e+02
1.015250e+02,-4.482095e+00,1.015250e+02
1.014778e+02,-4.622530e+00,1.014778e+02
1.014200e+02,-4.756914e+00,1.014200e+02
1.013526e+02,-4.884045e+00,1.013526e+02
1.012766e+02,-5.002823e+00,1.012766e+02
1.011928e+02,-5.112270e+00,1.011928e+02
1.011026e+02,-5.211541e+00,1.011026e+02
1.010071e+02,-5.299936e+00,1.010071e+02
1.009078e+02,-5.376913e+00,1.009078e+02
1.008060e+02,-5.442092e+00,1.008060e+02
1.007032e+02,-5.495265e+00,1.007032e+02
1.006007e+02,-5.536394e+00,1.006007e+02
1.005000e+02,-5.565614e+00,1.005000e+02
1.004026e+02,-5.583232e+00,1.004026e+02
1.003098e+02,-5.589721e+00,1.003098e+02
1.002229e+02,-5.585714e+00,1.002229e+02
1.001431e+02,-5.571995e+00,1.001431e+02
1.000715e+02,-5.549486e+00,1.000715e+02
1.000091e+02,-5.519237e+00,1.000091e+02
9.995675e+01,-5.482407e+00,9.995675e+01
9.991522e+01,-5.440251e+00,9.991522e+01
9.988503e+01,-5.394101e+00,9.988503e+01
9.986658e+01,-5.345345e+00,9.986658e+01
9.986010e+01,-5.295409e+00,9.986010e+01
9.986564e+01,-5.245734e+00,9.986564e+01
9.988308e+01,-5.197761e+00,9.988308e+01
9.991214e+01,-5.152904e+00,9.991214e+01
9.995235e+01,-5.112533e+00,9.995235e+01
1.000031e+02,-5.077952e+00,1.000031e+02
1.000636e+02,-5.050384e+00,1.000636e+02
1.001330e+02,-5.030951e+00,1.001330e+02
1.002103e+02,-5.020657e+00,1.002103e+02
1.002941e+02,-5.020376e+00,1.002941e+02
1.003835e+02,-5.030837e+00,1.003835e+02
1.004769e+02,-5.052616e+00,1.004769e+02
1.005731e+02,-5.086126e+00,1.005731e+02
1.006705e+02,-5.131611e+00,1.006705e+02
1.007678e+02,-5.189144e+00,1.007678e+02
1.008636e+02,-5.258625e+00,1.008636e+02
1.009563e+02,-5.339781e+00,1.009563e+02
1.010447e+02,-5.432174e+00,1.010447e+02
1.011273e+02,-5.535201e+00,1.011273e+02
1.012031e+02,-5.648110e+00,1.012031e+02
1.012708e+02,-5.770006e+00,1.012708e+02
1.013294e+02,-5.899862e+00,1.013294e+02
1.013781e+02,-6.036542e+00,1.013781e+02
1.014161e+02,-6.178807e+00,1.014161e+02
1.014428e+02,-6.325342e+00,1.014428e+02
1.014577e+02,-6.474767e+00,1.014577e+02
1.014607e+02,-6.625663e+00,1.014607e+02
1.014516e+02,-6.776589e+00,1.014516e+02
1.014305e+02,-6.926104e+00,1.014305e+02
1.013977e+02,-7.072785e+00,1.013977e+02
1.013535e+02,-7.215253e+00,1.013535e+02
1.012986e+02,-7.352188e+00,1.012986e+02
1.012338e+02,-7.482349e+00,1.012338e+02
1.011598e+02,-7.604592e+00,1.011598e+02
1.010777e+02,-7.717888e+00,1.010777e+02
1.009886e+02,-7.821336e+00,1.009886e+02
1.008938e+02,-7.914174e+00,1.008938e+02
1.007946e+02,-7.995796e+00,1.007946e+02
1.006923e+02,-8.065755e+00,1.006923e+02
1.005884e+02,-8.123771e+00,1.005884e+02
1.004843e+02,-8.169737e+00,1.004843e+02
1.003814e+02,-8.203717e+00,1.003814e+02
1.002811e+02,-8.225949e+00,1.002811e+02
1.001849e+02,-8.236838e+00,1.001849e+02
1.000941e+02,-8.236953e+00,1.000941e+02
1.000099e+02,-8.227018e+00,1.000099e+02
9.993351e+01,-8.207898e+00,9.993351e+01
9.986591e+01,-8.180594e+00,9.986591e+01
9.980806e+01,-8.146223e+00,9.980806e+01
9.976071e+01,-8.106002e+00,9.976071e+01
9.972450e+01,-8.061234e+00,9.972450e+01
9.969988e+01,-8.013286e+00,9.969988e+01
9.968716e+01,-7.963571e+00,9.968716e+01
9.968647e+01,-7.913528e+00,9.968647e+01
9.969774e+01,-7.864598e+00,9.969774e+01
9.972077e+01,-7.818210e+00,9.972077e+01
9.975516e+01,-7.775753e+00,9.975516e+01
9.980036e+01,-7.738562e+00,9.980036e+01
9.985567e+01,-7.707895e+00,9.985567e+01
9.992023e+01,-7.684917e+00,9.992023e+01
9.999305e+01,-7.670682e+00,9.999305e+01
1.000730e+02,-7.666119e+00,1.000730e+02
1.001590e+02,-7.672017e+00,1.001590e+02
1.002496e+02,-7.689016e+00,1.002496e+02
1.003434e+02,-7.717597e+00,1.003434e+02
1.004392e+02,-7.758073e+00,1.004392e+02
1.005354e+02,-7.810588e+00,1.005354e+02
1.006307e+02,-7.875112e+00,1.006307e+02
1.007235e+02,-7.951442e+00,1.007235e+02
1.008125e+02,-8.039207e+00,1.008125e+02
1.008963e+02,-8.137871e+00,1.008963e+02
1.009737e+02,-8.246742e+00,1.009737e+02
1.010435e+02,-8.364980e+00,1.010435e+02
1.011046e+02,-8.491613e+00,1.011046e+02
1.011561e+02,-8.625547e+00,1.011561e+02
1.011972e+02,-8.765582e+00,1.011972e+02
1.012272e+02,-8.910432e+00,1.012272e+02
1.012457e+02,-9.058742e+00,1.012457e+02
1.012523e+02,-9.209105e+00,1.012523e+02
1.012468e+02,-9.360089e+00,1.012468e+02
1.012292e+02,-9.510247e+00,1.012292e+02
1.011998e+02,-9.658150e+00,1.011998e+02
1.011589e+02,-9.802397e+00,1.011589e+02
1.011070e+02,-9.941640e+00,1.011070e+02
1.010448e+02,-1.007461e+01,1.010448e+02
1.009731e+02,-1.020011e+01,1.009731e+02
1.008929e+02,-1.031707e+01,1.008929e+02
1.008052e+02,-1.042453e+01,1.008052e+02
1.007113e+02,-1.052167e+01,1.007113e+02
1.006123e+02,-1.060783e+01,1.006123e+02
1.005098e+02,-1.068249e+01,1.005098e+02
1.004050e+02,-1.074530e+01,1.004050e+02
1.002995e+02,-1.079608e+01,1.002995e+02
1.001946e+02,-1.083482e+01,1.001946e+02
1.000918e+02,-1.086170e+01,1.000918e+02
9.999242e+01,-1.087705e+01,9.999242e+01
9.989792e+01,-1.088137e+01,9.989792e+01
9.980955e+01,-1.087533e+01,9.980955e+01
9.972850e+01,-1.085974e+01,9.972850e+01
